144;;জেলা মৎস্য কর্মকর্তা (রিজার্ভ);0;1;2017-02-05 04:17:18
145;;উপপ্রধান (সামুদ্রিক শাখা);0;1;2017-02-05 04:17:18
148;;সহকারী পরিচালক (পরিকল্পনা শাখা);0;1;2017-02-05 04:17:18
149;;প্রধান মৎস্য সম্প্রসারণ কর্মকর্তা;0;1;2017-02-05 04:17:18
150;;সহকারী পরিচালক (সমন্বয় শাখা);0;1;2017-02-05 04:17:18
151;;সহকারী পরিচালক (অর্থ);0;1;2017-02-05 04:17:18
153;;সহকারী পরিচালক (অডিট);0;1;2017-02-05 04:17:18
154;;সহকারী পরিচালক (মৎস‌্য চাষ ও ডোসিয়ার);0;1;2017-02-05 04:17:18
155;;সহকারী পরিচালক (লিগ্যাল);0;1;2017-02-05 04:17:18
156;;সহকারী পরিচালক (জলমহল);0;1;2017-02-05 04:17:18
157;;সহকারী পরিচালক (মাননিয়ন্ত্রন);0;1;2017-02-05 04:17:18
158;;সহকারী পরিচালক (চিংড়ি);0;1;2017-02-05 04:17:18
159;;সহকারী পরিচালক (প্রশাসন - ১);0;1;2017-02-05 04:17:18
160;;সহকারী পরিচালক (প্রশাসন - ২);0;1;2017-02-05 04:17:18
161;;সহকারী পরিচালক (পরিকল্পনা শাখা);0;1;2017-02-05 04:17:18
163;;সহকারী পরিচালক (আইসিটি শাখা);0;1;2017-02-05 04:17:18
165;;সহকারী পরিচালক (মেরিন);0;1;2017-02-05 04:17:18
166;;সহকারী পরিচালক ( বাস্তবায়ন শাখা);0;1;2017-02-05 04:17:18
167;;সহকারী প্রধান (পরিকল্পনা শাখা);0;1;2017-02-05 04:17:18
168;;সহকারী প্রধান (একোয়াকালচার);0;1;2017-02-05 04:17:18
169;;উর্দ্ধতন বৈজ্ঞানিক কর্মকর্তা;0;1;2017-02-05 04:17:18
170;;বাজেট অফিসার;0;1;2017-02-05 04:17:18
171;;গবেষণা কর্মকর্তা (প্রশাসন - ১);0;1;2017-02-05 04:17:18
172;;উপজেলা মৎস্য কর্মকর্তা (রিজার্ভ) প্রশাসন - ২;0;1;2017-02-05 04:17:18
174;;উপজেলা মৎস্য কর্মকর্তা (অ,দা);0;1;2017-02-05 04:17:18
175;;উপজেলা মৎস্য কর্মকর্তা (চিংড়ি);0;1;2017-02-05 04:17:18
176;;গবেষণা কর্মকর্তা (চিংড়ি);0;1;2017-02-05 04:17:18
177;;বৈজ্ঞানিক কর্মকর্তা (মৎস্য চাষ);0;1;2017-02-05 04:17:18
178;;প্রোগ্রামার (আইসিটি শাখা);0;1;2017-02-05 04:17:18
179;;ভাণ্ডার ও সংগ্রহ কর্মকর্তা;0;1;2017-02-05 04:17:18
180;;অডিট কর্মকর্তা ( নি.বে);0;1;2017-02-05 04:17:18
181;;পরিসংখ্যান কর্মকর্তা ( নি.বে);0;1;2017-02-05 04:17:18
182;;কার্টোগ্রাফার (নি.বে);0;1;2017-02-05 04:17:18
183;;উপজেলা মৎস্য কর্মকর্তা (নি.বে) রিজার্ভ;0;1;2017-02-05 04:17:18
184;;সিনিয়র ফটো আর্টিষ্ট;0;1;2017-02-05 04:17:18
185;;মৎস্য চাষ প্রকৌশলী (চ,দা);0;1;2017-02-05 04:17:18
186;;মৎস্য জরিপ কর্মকর্তা (অ.দা);0;1;2017-02-05 04:17:18
187;;সম্প্রসারণ কর্মকর্তা (নি,বে) সমম্বিত মৎস্য চাষ উন্নয়ন প্রকল্প;0;1;2017-02-05 04:17:18
188;;সহকারী প্রকল্প কর্মকর্তা সমন্বিত মৎস‌্য চাষ উন্নয়ন প্রকল্প;0;1;2017-02-05 04:17:18
189;;উপ সহকারী প্রকৌশলী;0;1;2017-02-05 04:17:18
190;;সহকারী পরিচালক (সংযুক্ত মৎস্য প্রশিক্ষণ ইনস্টিটিউট);0;1;2017-02-05 04:17:18
